LoID,lat,long,Time,Location,Temp_Min,Temp_25th%,Temp_50th%,Temp_75th%,Temp_Max ,Turbidity_Min,Turbidity_25th%,Turbidity_50th%,Turbidity_75th%,Turbidity_Max ,Ecoli_Min,Ecoli_25th%,Ecoli_50th%,Ecoli_75th%,Ecoli_Max ,,,
7,-37.9585379,145.2256262,2012,"Dandenong Creek at Stud Road, Dandenong North",9.40 ,11.60 ,15.00 ,18.50 ,21.90 ,36.00 ,50.00 ,58.00 ,68.00 ,84.00 ,86.00 ,175.00 ,190.00 ,295.00 ,880.00 ,,,
7,-37.9585379,145.2256262,2011,"Dandenong Creek at Stud Road, Dandenong North",8.80 ,9.50 ,12.30 ,13.60 ,18.30 ,6.00 ,9.00 ,12.00 ,26.00 ,180.00 ,10.00 ,30.00 ,80.00 ,350.00 ,2800.00 ,,,
7,-37.9585379,145.2256262,2010,"Dandenong Creek at Stud Road, Dandenong North",9.00 ,10.90 ,15.90 ,18.60 ,22.00 ,20.00 ,25.00 ,39.00 ,45.00 ,150.00 ,160.00 ,210.00 ,290.00 ,1675.00 ,5300.00 ,,,
7,-37.9585379,145.2256262,2009,"Dandenong Creek at Stud Road, Dandenong North",10.60 ,11.90 ,16.00 ,18.80 ,22.30 ,15.00 ,23.00 ,31.00 ,35.00 ,53.00 ,20.00 ,88.00 ,230.00 ,613.00 ,3100.00 ,,,
8,-38.0186341,145.2155859,2013,"Dandenong Creek at Pillars Crossing, Dandenong South",9.20 ,12.80 ,15.10 ,16.30 ,24.30 ,16.00 ,33.00 ,41.00 ,59.00 ,72.00 ,110.00 ,168.00 ,1020.00 ,2200.00 ,5800.00 ,,,
8,-38.0186341,145.2155859,2012,"Dandenong Creek at Pillars Crossing, Dandenong South",10.00 ,11.80 ,14.10 ,18.50 ,24.00 ,25.00 ,34.00 ,61.00 ,68.00 ,97.00 ,41.00 ,120.00 ,175.00 ,208.00 ,1500.00 ,,,
8,-38.0186341,145.2155859,2011,"Dandenong Creek at Pillars Crossing, Dandenong South",7.80 ,11.70 ,16.00 ,17.20 ,21.60 ,28.00 ,46.00 ,64.00 ,79.00 ,140.00 ,120.00 ,190.00 ,420.00 ,1350.00 ,4800.00 ,,,
8,-38.0186341,145.2155859,2010,"Dandenong Creek at Pillars Crossing, Dandenong South",9.00 ,12.40 ,15.80 ,19.60 ,22.00 ,26.00 ,30.00 ,41.00 ,47.00 ,87.00 ,50.00 ,60.00 ,170.00 ,1325.00 ,6000.00 ,,,
8,-38.0186341,145.2155859,2009,"Dandenong Creek at Pillars Crossing, Dandenong South",10.20 ,12.50 ,16.30 ,19.70 ,23.90 ,19.00 ,26.00 ,36.00 ,48.00 ,54.00 ,40.00 ,125.00 ,260.00 ,1060.00 ,5800.00 ,,,
9,-37.882195,144.983109,2013,"Elster Creek at Cochrane Street, Elwood",12.00 ,13.40 ,14.90 ,17.60 ,21.50 ,6.00 ,7.00 ,13.00 ,20.00 ,57.00 ,110.00 ,725.00 ,1650.00 ,10350.00 ,24000.00 ,,,
9,-37.882195,144.983109,2012,"Elster Creek at Cochrane Street, Elwood",11.10 ,13.20 ,15.40 ,17.10 ,20.30 ,5.00 ,8.00 ,14.00 ,22.00 ,150.00 ,120.00 ,208.00 ,470.00 ,755.00 ,4900.00 ,,,
9,-37.882195,144.983109,2011,"Elster Creek at Cochrane Street, Elwood",12.90 ,13.50 ,17.80 ,19.00 ,24.00 ,8.00 ,10.00 ,14.00 ,20.00 ,69.00 ,400.00 ,800.00 ,1300.00 ,3200.00 ,21000.00 ,,,
9,-37.882195,144.983109,2010,"Elster Creek at Cochrane Street, Elwood",12.00 ,13.00 ,16.50 ,19.80 ,21.00 ,5.00 ,11.00 ,19.00 ,26.00 ,430.00 ,80.00 ,750.00 ,1000.00 ,2125.00 ,20000.00 ,,,
9,-37.882195,144.983109,2009,"Elster Creek at Cochrane Street, Elwood",11.50 ,13.10 ,14.90 ,18.50 ,26.80 ,5.00 ,9.00 ,10.00 ,18.00 ,22.00 ,300.00 ,690.00 ,850.00 ,4100.00 ,80000.00 ,,,
10,-38.0514316,145.1846637,2013,"Eumemmerring Creek at Worsley Road, Bangholme",9.00 ,12.80 ,15.10 ,16.40 ,22.30 ,10.00 ,27.00 ,42.00 ,53.00 ,61.00 ,160.00 ,668.00 ,1005.00 ,2100.00 ,5800.00 ,,,
10,-38.0514316,145.1846637,2012,"Eumemmerring Creek at Worsley Road, Bangholme",10.00 ,11.70 ,14.20 ,17.20 ,22.60 ,13.00 ,22.00 ,40.00 ,65.00 ,86.00 ,110.00 ,225.00 ,330.00 ,1005.00 ,20000.00 ,,,
10,-38.0514316,145.1846637,2011,"Eumemmerring Creek at Worsley Road, Bangholme",7.30 ,11.40 ,16.00 ,17.10 ,22.30 ,16.00 ,30.00 ,35.00 ,43.00 ,74.00 ,80.00 ,160.00 ,460.00 ,1400.00 ,4000.00 ,,,
10,-38.0514316,145.1846637,2010,"Eumemmerring Creek at Worsley Road, Bangholme",9.00 ,11.80 ,15.90 ,19.00 ,22.30 ,4.00 ,14.00 ,26.00 ,42.00 ,240.00 ,60.00 ,260.00 ,665.00 ,1350.00 ,3600.00 ,,,
10,-38.0514316,145.1846637,2009,"Eumemmerring Creek at Worsley Road, Bangholme",11.10 ,12.00 ,15.30 ,19.20 ,23.30 ,9.00 ,11.00 ,16.00 ,32.00 ,45.00 ,40.00 ,40.00 ,140.00 ,315.00 ,2900.00 ,,,
11,-37.894318,145.249268,2013,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",8.00 ,12.30 ,14.80 ,16.20 ,21.40 ,11.00 ,15.00 ,21.00 ,29.00 ,41.00 ,270.00 ,382.00 ,495.00 ,3450.00 ,5800.00 ,,,
11,-37.894318,145.249268,2012,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",8.90 ,11.50 ,14.50 ,16.90 ,21.00 ,8.00 ,15.00 ,26.00 ,36.00 ,140.00 ,160.00 ,205.00 ,260.00 ,593.00 ,1600.00 ,,,
11,-37.894318,145.249268,2011,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",7.30 ,11.10 ,14.90 ,16.00 ,21.70 ,12.00 ,21.00 ,26.00 ,30.00 ,82.00 ,80.00 ,320.00 ,500.00 ,1690.00 ,30000.00 ,,,
11,-37.894318,145.249268,2010,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",9.00 ,9.90 ,15.40 ,18.40 ,21.40 ,10.00 ,14.00 ,19.00 ,36.00 ,140.00 ,20.00 ,203.00 ,330.00 ,765.00 ,3200.00 ,,,
11,-37.894318,145.249268,2009,"Ferny Creek upstream of confluence with Monbulk Ck, Knoxfield",9.90 ,11.80 ,14.50 ,18.00 ,21.80 ,5.00 ,16.00 ,19.00 ,28.00 ,59.00 ,10.00 ,90.00 ,220.00 ,645.00 ,2400.00 ,,,
12,-38.0574748,145.2623673,2013,"Hallam Main Drain at South Gippsland Highway, Hampton Park",9.10 ,12.80 ,14.90 ,16.60 ,22.60 ,17.00 ,34.00 ,48.00 ,54.00 ,69.00 ,360.00 ,758.00 ,1200.00 ,2925.00 ,3300.00 ,,,
12,-38.0574748,145.2623673,2012,"Hallam Main Drain at South Gippsland Highway, Hampton Park",9.50 ,11.50 ,14.50 ,18.00 ,22.20 ,13.00 ,28.00 ,34.00 ,64.00 ,110.00 ,110.00 ,120.00 ,430.00 ,920.00 ,2800.00 ,,,
12,-38.0574748,145.2623673,2011,"Hallam Main Drain at South Gippsland Highway, Hampton Park",7.80 ,9.40 ,14.20 ,17.20 ,18.60 ,22.00 ,27.00 ,33.00 ,50.00 ,77.00 ,80.00 ,210.00 ,335.00 ,560.00 ,2400.00 ,,,
12,-38.0574748,145.2623673,2010,"Hallam Main Drain at South Gippsland Highway, Hampton Park",9.00 ,11.10 ,17.00 ,18.90 ,22.00 ,6.00 ,13.00 ,19.00 ,46.00 ,180.00 ,30.00 ,70.00 ,100.00 ,1590.00 ,5300.00 ,,,
12,-38.0574748,145.2623673,2009,"Hallam Main Drain at South Gippsland Highway, Hampton Park",10.90 ,12.30 ,15.20 ,17.90 ,21.70 ,5.00 ,13.00 ,17.00 ,32.00 ,43.00 ,60.00 ,80.00 ,260.00 ,1450.00 ,11000.00 ,,,
13,-38.0050875,145.092007,2013,"Heatherton Drain at Bear St, Mordialloc",11.50 ,12.90 ,14.70 ,18.20 ,21.90 ,4.00 ,6.00 ,7.00 ,14.00 ,64.00 ,130.00 ,208.00 ,560.00 ,1275.00 ,7700.00 ,,,
13,-38.0050875,145.092007,2012,"Heatherton Drain at Bear St, Mordialloc",10.50 ,12.70 ,15.60 ,17.10 ,19.40 ,7.00 ,9.00 ,11.00 ,15.00 ,33.00 ,84.00 ,138.00 ,280.00 ,468.00 ,2200.00 ,,,
13,-38.0050875,145.092007,2011,"Heatherton Drain at Bear St, Mordialloc",9.20 ,12.40 ,15.70 ,19.60 ,22.00 ,9.00 ,14.00 ,16.00 ,22.00 ,100.00 ,60.00 ,420.00 ,660.00 ,2600.00 ,4500.00 ,,,
13,-38.0050875,145.092007,2010,"Heatherton Drain at Bear St, Mordialloc",10.00 ,12.50 ,15.60 ,19.80 ,21.10 ,6.00 ,9.00 ,12.00 ,21.00 ,28.00 ,60.00 ,298.00 ,420.00 ,875.00 ,2600.00 ,,,
13,-38.0050875,145.092007,2009,"Heatherton Drain at Bear St, Mordialloc",10.80 ,13.70 ,18.70 ,22.50 ,25.00 ,2.00 ,6.00 ,9.00 ,13.00 ,21.00 ,20.00 ,70.00 ,240.00 ,738.00 ,2400.00 ,,,
14,-38.1426607,145.1201017,2013,"Kananook Creek at Wells Street, Frankston",10.40 ,12.10 ,15.60 ,18.90 ,22.40 ,2.00 ,4.00 ,5.00 ,5.00 ,19.00 ,41.00 ,130.00 ,200.00 ,260.00 ,4400.00 ,,,
14,-38.1426607,145.1201017,2012,"Kananook Creek at Wells Street, Frankston",10.40 ,12.20 ,15.90 ,18.30 ,22.70 ,2.00 ,4.00 ,10.00 ,34.00 ,70.00 ,210.00 ,325.00 ,440.00 ,495.00 ,1400.00 ,,,
14,-38.1426607,145.1201017,2011,"Kananook Creek at Wells Street, Frankston",10.00 ,12.50 ,15.50 ,18.80 ,24.00 ,4.00 ,13.00 ,14.00 ,25.00 ,46.00 ,200.00 ,600.00 ,780.00 ,5300.00 ,19000.00 ,,,
14,-38.1426607,145.1201017,2010,"Kananook Creek at Wells Street, Frankston",8.00 ,12.10 ,16.50 ,21.30 ,22.00 ,2.00 ,6.00 ,10.00 ,14.00 ,62.00 ,20.00 ,125.00 ,180.00 ,480.00 ,1900.00 ,,,
14,-38.1426607,145.1201017,2009,"Kananook Creek at Wells Street, Frankston",9.00 ,12.30 ,15.00 ,18.00 ,24.00 ,1.00 ,2.00 ,5.00 ,7.00 ,10.00 ,10.00 ,35.00 ,90.00 ,160.00 ,3400.00 ,,,
