site_pcode,New_build09,Removal09,New_buil_10,Removal_10,New_buil_11,Removal_11,New_buil_12,Removal_12,New_buil_13,Removal_13,T_newbuild,buildens,y_2008,y_2009,Pcode,Locality,State,Comments,DeliveryOf,PresortInd,ParcelZone,BSPnumber,BSPname,Category,water_d,pc_area,Tree_area,treecover
3023,1636,1,980,1,680,2,334,0,292,1,3922,152.55,469,455,3023,BURNSIDE,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.02985,25.71,0,0
3024,679,0,730,0,632,1,333,0,218,1,2592,10.44,456,432,3024,MAMBOURIN,VIC,,HOPPERS CROSSING DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.05263,248.2,233409.81,0.0009
3025,72,0,70,1,59,1,60,2,82,1,343,24.31,471,433,3025,ALTONA EAST,VIC,PO Boxes,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.08068,14.11,65700.63,0.0047
3028,121,1,116,2,77,1,65,1,90,2,469,24.66,467,441,3028,ALTONA MEADOWS,VIC,,HOPPERS CROSSING DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.05567,19.02,23855.36,0.0013
3029,2143,1,2282,4,1472,4,1012,2,1082,8,7991,262.43,495,473,3029,HOPPERS CROSSING,VIC,,HOPPERS CROSSING DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.04444,30.45,2259.96,0.0001
3030,2269,3,2962,4,1896,3,1165,3,1102,4,9394,54.04,474,450,3030,COCOROC,VIC,,HOPPERS CROSSING DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.05063,173.82,566138.77,0.0033
3031,38,0,53,2,48,0,20,0,31,0,190,37.7,362,345,3031,FLEMINGTON,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.04696,5.04,55581.66,0.011
3032,148,0,227,3,113,0,98,1,141,0,727,74.79,442,416,3032,ASCOT VALE,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.05882,9.72,89356.93,0.0092
3033,104,1,114,0,103,0,132,0,103,1,556,53,480,443,3033,KEILOR EAST,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07708,10.49,110374.72,0.0105
3034,38,0,43,0,50,1,45,0,46,0,222,41.04,503,463,3034,AVONDALE HEIGHTS,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07952,5.41,123937.09,0.0229
3036,20,0,37,0,32,0,31,0,20,0,140,8.53,590,539,3036,KEILOR,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.08644,16.42,449611.48,0.0274
3037,498,1,406,2,386,2,329,0,309,0,1928,96.16,535,509,3037,CALDER PARK,VIC,,ST ALBANS DC,315,V1,30,HAWTHORN,Delivery Area,-0.0486,20.05,0,0
3038,100,1,126,1,88,0,58,4,85,1,457,34.31,593,552,3038,KEILOR DOWNS,VIC,,ST ALBANS DC,315,V1,30,HAWTHORN,Delivery Area,-0.06914,13.32,0,0
3039,64,0,76,0,64,0,67,1,71,0,342,75.83,423,395,3039,MOONEE PONDS,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.06619,4.51,0,0
3040,165,5,204,2,166,3,155,2,176,3,866,101.05,451,426,3040,ABERFELDIE,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.05543,8.57,51537.19,0.006
3041,77,0,101,1,79,3,78,2,73,0,408,49.88,468,445,3041,ESSENDON FIELDS,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.04915,8.18,11661.49,0.0014
3042,156,4,130,2,140,3,104,1,126,0,656,73.63,443,410,3042,AIRPORT WEST,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07449,8.91,135302.5,0.0152
3043,96,0,99,0,84,0,28,2,70,1,377,13.7,433,410,3043,GLADSTONE PARK,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.05312,27.52,651019.28,0.0237
3044,121,3,149,1,142,1,124,4,131,5,667,84.32,410,393,3044,PASCOE VALE,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.04146,7.91,45749.23,0.0058
3046,140,6,201,7,156,8,174,2,171,5,842,60.06,428,414,3046,GLENROY,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.03271,14.02,43615.06,0.0031
3047,78,9,108,5,104,6,84,2,97,1,471,39.02,524,508,3047,BROADMEADOWS,VIC,,SOMERTON DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.03053,12.07,25200.3,0.0021
3048,42,4,42,4,43,2,42,6,48,8,217,28.33,557,535,3048,COOLAROO,VIC,,SOMERTON DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.0395,7.66,0,0
3049,80,0,91,1,63,1,51,0,61,0,346,43.2,528,498,3049,ATTWOOD,VIC,,AIRPORT WEST DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.05682,8.01,36900.34,0.0046
3051,72,0,83,1,29,1,28,0,17,1,229,97.45,433,392,3051,HOTHAM HILL,VIC,PO Boxes,CITY DELIVERY CENTRE,313,V1,22,MELBOURNE CITY,Delivery Area,-0.09469,2.35,12376.92,0.0053
3052,97,0,45,0,29,1,24,0,24,0,219,64.99,422,393,3052,MELBOURNE UNIVERSITY,VIC,PO Boxes,CITY DELIVERY CENTRE,314,V1,25,PRESTON,Delivery Area,-0.06872,3.37,114026.47,0.0338
3053,24,0,60,0,21,0,25,0,41,1,171,97.71,339,329,3053,CARLTON,VIC,,CITY DELIVERY CENTRE,314,V1,25,PRESTON,Delivery Area,-0.0295,1.75,148023.2,0.0846
3054,13,0,19,0,7,0,9,0,13,0,61,26.52,384,367,3054,CARLTON NORTH,VIC,,CITY DELIVERY CENTRE,314,V1,25,PRESTON,Delivery Area,-0.04427,2.3,40223.48,0.0175
3055,26,0,30,0,37,2,26,0,26,0,145,45.6,358,356,3055,BRUNSWICK SOUTH,VIC,PO Boxes,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.00559,3.18,2238.74,0.0007
3056,74,1,104,0,68,2,80,4,79,0,405,78.49,362,352,3056,BRUNSWICK,VIC,,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.02762,5.16,0,0
3057,22,0,31,0,23,2,29,0,35,0,140,65.12,359,344,3057,BRUNSWICK EAST,VIC,,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.04178,2.15,20699.3,0.0096
3058,113,3,125,2,98,4,179,1,222,8,737,62.09,422,408,3058,BATMAN,VIC,PO Boxes,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.03318,11.87,35100.61,0.003
3059,145,0,124,1,147,1,193,0,344,1,953,12.55,677,652,3059,GREENVALE,VIC,,SOMERTON DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.03693,75.93,791108.28,0.0104
3060,56,0,50,2,57,2,59,1,47,1,269,52.85,473,460,3060,FAWKNER,VIC,,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.02748,5.09,0,0
3061,37,1,50,0,46,1,37,0,34,2,204,16.41,544,528,3061,CAMPBELLFIELD,VIC,,SOMERTON DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.02941,12.43,20743.67,0.0017
3064,1143,2,1158,2,997,0,1180,4,1069,3,5547,52.75,499,482,3064,CRAIGIEBURN,VIC,,SOMERTON DC,314,V1,24,MELB NORTH WEST,Delivery Area,-0.03407,105.15,222228.57,0.0021
3065,45,1,49,3,20,2,13,0,19,0,146,104.29,365,345,3065,FITZROY,VIC,,CITY MAIL PROCESSING CENTRE,314,V1,25,PRESTON,Delivery Area,-0.05479,1.4,0,0
3066,14,0,32,0,24,0,20,1,26,1,116,89.92,427,373,3066,COLLINGWOOD,VIC,,CITY MAIL PROCESSING CENTRE,314,V1,25,PRESTON,Delivery Area,-0.12646,1.29,0,0
3067,18,0,32,0,27,0,37,0,37,0,151,84.36,356,347,3067,ABBOTSFORD,VIC,,CITY MAIL PROCESSING CENTRE,314,V1,25,PRESTON,Delivery Area,-0.02528,1.79,38496.07,0.0215
3068,36,1,60,0,52,2,33,1,42,1,223,53.61,370,346,3068,CLIFTON HILL,VIC,,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.06486,4.16,74871.1,0.018
3070,90,0,92,0,73,1,113,0,107,2,475,75.76,382,366,3070,NORTHCOTE,VIC,,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.04188,6.27,22332.94,0.0036
3071,45,1,73,0,58,0,50,2,62,1,288,57.6,367,354,3071,THORNBURY,VIC,,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.03542,5,0,0
3072,135,6,144,3,118,9,103,5,132,4,632,55.88,416,401,3072,GILBERTON,VIC,PO Boxes,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.03606,11.31,0,0
3073,206,4,234,10,218,10,164,7,195,17,1017,52.53,436,413,3073,KEON PARK,VIC,PO Boxes,Preston DC,314,V1,25,PRESTON,Delivery Area,-0.05275,19.36,26100.36,0.0013
3074,57,1,62,1,89,0,76,1,64,1,348,23.63,523,491,3074,THOMASTOWN,VIC,,EPPING DC,316,V1,29,RINGWOOD,Delivery Area,-0.06119,14.73,4226.79,0.0003
3075,125,1,342,2,220,1,219,0,184,2,1090,171.38,513,483,3075,LALOR,VIC,,EPPING DC,316,V1,29,RINGWOOD,Delivery Area,-0.05848,6.36,0,0
